Longevity,Condition
35,Pregnant8
37,Pregnant8
49,Pregnant8
46,Pregnant8
63,Pregnant8
39,Pregnant8
46,Pregnant8
56,Pregnant8
63,Pregnant8
65,Pregnant8
56,Pregnant8
65,Pregnant8
70,Pregnant8
63,Pregnant8
65,Pregnant8
70,Pregnant8
77,Pregnant8
81,Pregnant8
86,Pregnant8
70,Pregnant8
70,Pregnant8
77,Pregnant8
77,Pregnant8
81,Pregnant8
77,Pregnant8
40,None0
37,None0
44,None0
47,None0
47,None0
47,None0
68,None0
47,None0
54,None0
61,None0
71,None0
75,None0
89,None0
58,None0
59,None0
62,None0
79,None0
96,None0
58,None0
62,None0
70,None0
72,None0
75,None0
96,None0
75,None0
46,Pregnant1
42,Pregnant1
65,Pregnant1
46,Pregnant1
58,Pregnant1
42,Pregnant1
48,Pregnant1
58,Pregnant1
50,Pregnant1
80,Pregnant1
63,Pregnant1
65,Pregnant1
70,Pregnant1
70,Pregnant1
72,Pregnant1
97,Pregnant1
46,Pregnant1
56,Pregnant1
70,Pregnant1
70,Pregnant1
72,Pregnant1
76,Pregnant1
90,Pregnant1
76,Pregnant1
92,Pregnant1
21,Virgin1
40,Virgin1
44,Virgin1
54,Virgin1
36,Virgin1
40,Virgin1
56,Virgin1
60,Virgin1
48,Virgin1
53,Virgin1
60,Virgin1
60,Virgin1
65,Virgin1
68,Virgin1
60,Virgin1
81,Virgin1
81,Virgin1
48,Virgin1
48,Virgin1
56,Virgin1
68,Virgin1
75,Virgin1
81,Virgin1
48,Virgin1
68,Virgin1
16,Virgin8
19,Virgin8
19,Virgin8
32,Virgin8
33,Virgin8
33,Virgin8
30,Virgin8
42,Virgin8
42,Virgin8
33,Virgin8
26,Virgin8
30,Virgin8
40,Virgin8
54,Virgin8
34,Virgin8
34,Virgin8
47,Virgin8
47,Virgin8
42,Virgin8
47,Virgin8
54,Virgin8
54,Virgin8
56,Virgin8
60,Virgin8
44,Virgin8
